filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000122.mp4,"  Based on the image, it's difficult to determine, but it appears to be at least 2 vehicles involved, as I see at least two sets of headlights/reflections clustered together.","  It's not possible to definitively determine the accident type from this image. It could be a rear-end, side-impact, or some other type of collision. It is not clear from the image.", Unknown. The image quality is too poor to assess if there are any visible injuries., Unknown. Based on the information provided no ambulance can be verified as needed., Unknown. There is no evidence of fire or smoke in the image.," Likely. Given the nature of traffic accidents, police involvement is often necessary for investigation and documentation.", Unknown. The image is too blurry to determine the types of vehicles involved., No.," Night, Wet/Rainy. The image is dark, and there are reflections on the road, suggesting wet conditions.", Yes.
000123.mp4, 3, Rear end, Cannot determine, Cannot determine, No, Likely," Truck, Sedan", No," Day, clear", Yes
000124.mp4, 0 (There is no accident occurring in the frame.), N/A (No accident is present), No (No accident is present), No (No accident is present), No (No accident is present), No (No accident is present)," The frame shows a bus, a truck, a sedan, and a person riding a orange vehicle.", No," Day, weather appears clear"," Yes (The footage has low resolution, making definitive assessments difficult.)"
000125.mp4,2,T-bone,Possibly yes (based on the nature of the accident),Possibly yes,Possibly no,Yes,Motorcycle and Sedan,No,"Day, possibly overcast",Yes
000126.mp4, 3, T-bone, Yes, Yes, No, Yes," Bus, Scooter and Car", No," Day, Clear", Yes
000127.mp4, 2, T-Bone (based on the position of the vehicles in the frame), Cannot determine with certainty.," Cannot determine with certainty, but likely due to the nature of a T-bone accident."," Cannot determine with certainty, but unlikely unless there is fire or significant vehicle damage requiring extrication.", Very likely due to the accident involving two vehicles., Appears to be two cars (sedan and/or possibly SUV)., No," Night, Weather is unknown.", Yes
000128.mp4, 2," It appears to be a possible side impact or turning collision, but the exact nature is unclear due to the image quality. It's difficult to ascertain if it's a T-bone.", Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Appears to be a light delivery truck/van and a sedan or SUV., No.," Night, snowy conditions.", Yes.
000129.mp4, 2, Appears to be a T-bone collision.," Cannot determine from the images, so no."," Cannot determine from the images, so no.", Yes. A firetruck is present at the scene.," Cannot determine from the images, so no."," Sedan, Firetruck.", No.," Day, Clear.", No.
000130.mp4,0 (No visible accident),Not Applicable (No visible accident),no (No visible accident),no (No visible accident),no (No visible accident),no (No visible accident),"SUV, Van, Sedan (These vehicle types are visible, but not involved in an accident)",no,"Day, Clear/Snowy",no
000131.mp4, 2, T-bone," Unknown, based on the footage."," Unknown, based on the footage.", No, Probably yes., Sedan and possible sedan., No," Night, snowy.", Yes
000132.mp4, 2, T-bone, Unclear, Possible, No, Likely," Sedan, Sedan", No," Night, Winter Conditions (snowy)", No
000133.mp4, 3,"  It appears to be a complex intersection collision, with elements that look like a side impact (T-bone) for at least one vehicle. The exact sequence is difficult to determine from a single frame.",  Impossible to determine from the image., Impossible to determine from the image., Impossible to determine from the image.," Very likely, given the severity of the crash.",, No.," Night, possibly wet or icy roads given the lighting and sheen on the pavement."," No, the image quality is acceptable."
000134.mp4,2,T-bone,"Possibly, but not definitively determinable from the image.","Possibly, due to the nature of the T-bone collision.","Unlikely, unless there is a fire or need for vehicle extrication.","Likely, due to the accident and potential for injuries/liability.",Sedans,No,"Daytime, snowy/icy conditions.",No
000135.mp4," I cannot determine the number of vehicles involved in an accident. There are vehicles on the road, but there is no visible accident.",  Cannot determine, Cannot determine,  No., No., No., There are sedans visible in the image., No.," Night, with snowy conditions.", The footage appears to be of low quality.
000136.mp4, 4," Angle/turning collision involving a truck, a motorcycle, and a SUV", yes, yes, no, yes," Truck, SUV, motorcycle.", no," Day, clear weather", yes
000137.mp4,"0 (Based on the single frame, there is no visible accident)",Not Applicable,Unknown,Unknown,No,Unknown,"Sedans, SUVs (based on the vehicles visible)",No,"Day, rainy","No (The footage is not high resolution, but details are visible)"
000138.mp4," 0 (Based on the frames, there is no visible accident occurring.)", N/A (No accident detected), No (No accident detected), No (No accident detected), No (No accident detected), No (No accident detected)," N/A (No accident detected, but based on general view, there are sedans, SUVs, trucks, and vans.)", No (No accident detected)," Day, Clear (Based on visual assessment)"," No (While not high resolution, the footage is clear enough to see general details.)"
000139.mp4, 0 (I don't see any evidence of an accident in these frames), N/A, No, No, No, No," Sedans, SUVs, Van", No," Day, overcast/rainy.", No
000140.mp4, 1 (It is difficult to see but it appears that the sedan hit something in the middle of the road. It could be a person.)," Unknown, possibly pedestrian/object impact, or single car accident."," Unknown, but possible.", Possibly yes., No, Yes, Sedan, No," Night, weather appears clear.", Yes
000141.mp4, 2, T-bone, Possibly (due to the severity of the impact), Likely, Possibly (due to potential fluid spills), Yes (to investigate the accident and manage the scene), SUV and sedan, No," Day, clear", No
000142.mp4, 2, T-bone, Potentially yes (based on the severity of the impact), Likely yes, Potentially yes (due to the impact and possible hazards), Yes (due to the accident and potential injuries), Sedan and Sedan, No," Night, clear", No.
000143.mp4,1,Pedestrian vs. Vehicle,Yes,Likely Yes,No,Likely Yes,"Sedan,",No,"Day, Clear",No
000144.mp4, 2, The accident appears to be a side impact or possibly a T-bone type of collision.," Yes, likely. A person is seen on the ground after the impact."," Yes, likely needed based on the person on the ground."," Unknown, but unlikely given the absence of fire."," Yes, likely needed to investigate the collision.", Two sedans., No., The incident happened at night with clear weather.," Yes, the footage is low resolution and the image quality is poor."
000145.mp4, 2, T-bone, Likely yes. T-bone accidents often result in injuries.," Likely yes, given the potential for injuries in a T-bone accident."," No, no indication of fire or significant debris needing cleanup."," Yes, to investigate the accident, determine fault, and file a report.", Truck and minivan, No," Day, clear", Yes
000146.mp4, 0 (There is no visible accident), N/A, no, no, no, no," White Mini-Van, White small Box Truck, White Sports Car", no," Day, clear", yes
000147.mp4,2,Side Impact/T-Bone,Likely yes,Yes,No,Yes,Hatchback car and a Large Truck.,No,"Day, clear",Yes
000148.mp4, 2, T-bone, Cannot determine, Cannot determine, No, Cannot determine, Sedans, No," Day, clear", No
000149.mp4,,,,,,,,,,
000150.mp4, 2 (based on the image)," T-bone (likely, given the position of the vehicles just before impact)", Unable to determine from the image alone.," Unable to determine from the image alone, but possible given the nature of the collision."," Unable to determine from the image alone, but less likely unless there's a fire or significant fuel spill."," Likely, to investigate the accident and determine fault.", Sedan (appears to be two sedans)., No.," Night, unclear weather (possibly wet or rainy, suggested by the road's reflectivity).", Yes.
000151.mp4, 1 (A silver car is seen).," Unknown, the car appears to be driving away."," Unknown, there is no visible evidence of injury."," Unknown, there is no visible evidence of a need."," No, there is no visible evidence of fire or need for a fire truck."," Unknown, there is no visible evidence of a need.", Car.," No, there is no visible evidence of fire."," Day, clear.", Yes. The resolution is low.
000152.mp4, 1," Unable to determine due to lack of collision evidence, but it appears the white van drove onto the raised walkway in the video.", Unknown, Unknown, No, Unknown, Van, No," Day, clear", Yes
000153.mp4, 2, T-Bone (based on the visible trajectories and position of the vehicles), Unknown (cannot determine from the image), Unknown (cannot determine from the image), No (no visible signs of fire or smoke)," Likely yes (given the nature of the accident and that the footage is from a ""Kent Güvenlik Yönetim Sistemi"" - City Security Management System)", Possibly one sedan and one smaller vehicle. (hard to make out details due to the image quality), No," Night, weather appears clear", Yes
000154.mp4, 1, Single vehicle accident, Undetermined, Unknown, No, Yes, Truck, No," Day, clear", Yes
000155.mp4, 1 (based on the visible vehicles)., Unable to determine from the frame. There is only one car in the frame., Unable to determine from the frame., Unable to determine from the frame., Unable to determine from the frame., Unable to determine from the frame., Appears to be a sedan., No., Day. Weather appears to be wet., Yes.
000156.mp4," 0 (based on the provided frames, there is no apparent accident)", N/A, No, No, No, No," Trucks, vans, and what appears to be a motorcycle, but no indication of their involvement in an accident.", No," Day, clear", Yes
000157.mp4,2,T-bone,yes,yes,no,yes,van and motorcycle,no,"Day, clear",no
000158.mp4, 2, Rear End, Unknown, Unknown, Unlikely, Yes," Sedan, SUV", No," Day, clear", Yes
000159.mp4, 3, Rear-end, Undetermined., Undetermined., No., Likely., Sedans, No.," Night, possibly wet road conditions.", Yes.
000160.mp4, 3, Chain-reaction rear-end collision, Yes, Yes, No, Yes," Sedan, Sedan, Motorcycle", No," Day, rainy", Yes
000161.mp4, 2, T-bone, Likely yes (due to the nature of the impact and the presence of a motorcycle), Likely yes, No, Yes," Motorcycle, Sedan", No," Day, Overcast/Rainy", Yes
000162.mp4, 2, T-Bone, Potentially yes (based on the severity of the impact typically seen in T-bone accidents)., Potentially yes (due to the possibility of injuries)., No (no visible smoke or fire)., Yes (to investigate and manage the accident scene)., Truck and Sedan., No," Day, clear weather."," Yes, the footage is low resolution."
000163.mp4, 2, T-Bone/Angle Collision (appears to be), Potentially yes (based on the severity of impact), Probably yes (due to potential injuries from the crash), Possibly yes (to assess if any hazards or fires may exist), Definitely yes (for accident investigation and documentation), Sedans," No (no visible flames, but some spark/smoke due to friction/collision)"," Night, likely wet or rainy conditions (due to reflections on the road)", Yes (low resolution and quality)
000164.mp4, 2, T-bone, Likely yes, Yes, Unlikely, Yes, Appears to be two sedans, No," Night, likely clear", Yes
000165.mp4, 0, N/A, No, No, No, No," SUV, sedan, van, hatchback", No," Day, clear", Yes
000166.mp4, 2, T-bone, Unknown, Unknown, Unknown, Unknown," Sedan (at least one, potentially two)", No," Night, possibly wet/rainy (reflective surface)", Yes
000167.mp4, 2, T-bone, Yes, Yes, No, Yes," Sedan, Sedan", No," Day, Clear", Yes
000168.mp4, 2, Pedestrian Accident, Likely yes, Likely yes, No, Yes," Sedan, Pedestrian", No," Night, Clear", Yes
000169.mp4,It is difficult to determine if there is any accident. It just shows traffic. Cannot determine the number of vehicles in the incident.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,"Tanker truck, possible pickup truck",No.,"Day, clear",Yes
000170.mp4, 2, T-Bone, Unknown, Possible, Yes, Yes, Sedan and Station Wagon, Yes," Night, Unknown Weather", Yes
000171.mp4, 2, T-bone (based on vehicle positions), Unknown (cannot be determined from the frames), Unknown (cannot be determined from the frames), No (no fire is visible), Yes (police logo present on the screen), Van and SUV, No," Night, Wet road", Yes
000172.mp4," 0 (Based on the provided frames, there is no visible accident.)", None (No accident is visible.)," No (Since there's no accident, I assume no injuries.)", No, No, No," Not applicable (Since there's no accident, I can describe some general vehicles in the image. Such as SUV, Truck, Sedan, and Van)", No," Day, clear"," Yes (The footage is low resolution, which makes definitive assessments difficult.)"
000173.mp4,,,,,,,,,,
000174.mp4, 0 (I see no accident), N/A, No, No, No, No, Primarily sedans and SUVs are visible., No," Night, and the weather appears clear.", Yes
000175.mp4,2,"T-Bone (most probable, but cannot confirm fully)",No (cannot confirm with certainty),No (cannot confirm with certainty),No,Yes (Due to the nature of the suspected violation),"Sedan (at least one vehicle), other vehicle type unknown due to resolution",No,"Night, Weather Unknown, presumed clear.",Yes
000176.mp4, 0," None, there is no accident", No, No, No, No," Various: SUVs, sedans, vans, trucks", No," Day, clear", Yes
000177.mp4, 2, T-bone," Possibly, based on the severity of impact."," Possibly, given the impact and potential injuries."," Possibly, due to the nature of the collision."," Definitely, to assess the accident, direct traffic, and determine fault.", SUV and truck or SUV, No evidence of fire in the frames.," Daylight, clear weather."," Yes, the footage is of low resolution."
000178.mp4,0 (There is no accident. Cars crossing the intersection can be seen and the title explains red light violations),N/A,no,no,no,maybe (red light violations),"SUVs, Trucks, Sedans, unknown",no,"Day, clear",yes
000179.mp4," 0 (No accident is visible in these frames. Several cars are visible, but they are moving independently at an intersection.)", N/A (No accident present), No (Based on the absence of an accident), No (Based on the absence of an accident), No (Based on the absence of an accident), No (Based on the absence of an accident), Sedans (or similar sized vehicles) are visible. The exact type of vehicle cannot be determined due to the low resolution., No," Night, weather is unclear.", Yes
000180.mp4, 0, N/A, no, no, no, no," SUVs, sedans, truck, taxi", no," Day, clear", yes
000181.mp4, 2, T-bone, Yes, Yes, Likely, Yes, SUV and Sedan, Yes," Night, clear", Yes
000182.mp4,"0 (Based on the current frames, there's no apparent accident.)",N/A (No accident visible),Unknown (Cannot determine from the image),Unknown (Cannot determine from the image),No (No fire or obvious need visible),"Unknown (Potentially, given the ""Red Light Violations"" title, but not directly observable)","Predominantly sedans, possibly SUVs or vans in the distance.",No,"Night, weather is unclear but appears to be clear.",Yes
000183.mp4, 0 (There is no accident visible in these frames), N/A, Unknown., Unknown., No., Unknown., N/A, No.," Day, clear.", Yes.
000184.mp4, 2, T-bone, Likely yes (based on the severity of the impact), Likely yes, Unknown (depends on fluid leaks or other hazards), Yes (to investigate and create an accident report), Box truck and SUV., No," Daytime, Clear", No
000185.mp4, 2, T-Bone," Yes (likely, given the severity of the crash and debris scattered)", Yes (highly likely)," Yes (possible, but not confirmed based on the visuals, but would assume with the collision damage)"," Yes (likely, to investigate and manage the scene)"," Appears to be a car or smaller vehicle, and a truck of some kind.", No," Night, clear", No (the footage is fairly clear for a night scene)
000186.mp4, 0, None., No., No., No., No., Trucks and sedans are present., No.," Night, possibly wet (road appears shiny).", Yes. The footage is low resolution and grainy.
000187.mp4, 2, Angle Collision,  Likely yes (due to the nature of the impact), Likely yes,"  Potentially yes, for hazard control and vehicle extrication.", Yes (standard for accident investigation and traffic control),  At least two sedans, No (I see no visual evidence of fire)," Night, potentially wet road conditions based on reflections."," Yes (the image is low resolution, making precise assessments difficult)"
000188.mp4, 2, Broadside/T-Bone, Yes (Based on the violent nature of the crash), Yes (Due to the potential for severe injuries), Possibly (Depending on the extent of damage and potential for fire or hazards), Yes (To investigate the cause of the accident)," Difficult to determine definitively, but they appear to be passenger sedans.", No," Night, Possibly Rainy or Wet (based on the reflections on the road)"," Yes (The footage is low resolution, making it difficult to identify details)"
000189.mp4,3,T-bone/Intersection collision,"Yes (potential, based on severity of impact)","Yes (likely, given the type of collision)",No (no visible fire),Yes (standard procedure for accidents),"Minivan, Sedan, Sedan",No,"Night, likely clear",Yes
000190.mp4,"0 (There is no visible accident in the frames. I see vehicles and a person on the sidewalk, but no collision.)",N/A,"Undetermined (There is a person lying on the sidewalk, but it's unclear if they were injured in an accident.)",Undetermined,No,Undetermined,"Motorcycle, White Car (station wagon), Black van.",No,"Day, clear.",No
000191.mp4, 2, T-bone,  Likely yes (due to the nature of the collision), Likely yes (given the type of accident),  Potentially yes (depending on the severity and possibility of vehicle damage or fire), Yes (to investigate the accident and determine fault), Bus and Sedan (red vehicle), No," Day, clear"," Yes (the footage quality is not very high, making detailed analysis difficult)."
000192.mp4, 2, Likely a sideswipe or collision as one car appears to be turning across the path of another., Possibly. Difficult to determine from the footage.," Possibly. The severity of the impact is unclear, so medical assistance may be required."," No, there's no visible fire or indication of a need for fire services."," Yes. The footage appears to indicate an accident, which typically necessitates police involvement for reporting and investigation.", Sedans., No.," Night, clear."," Yes. The footage is low resolution, making it difficult to assess details."
000193.mp4, 2, Pedestrian vs. Vehicle, Yes, Yes (Likely), No, Yes," Bus, Pedestrian", No," Day, Clear", Yes
000194.mp4,"0 (Based on these frames alone, there is no visible accident.)",N/A,"No (Visually, there are no injured people.)",No,No,No,"SUVs, Vans, Motorcycles, Sedans",No,"Day, clear",Yes
000195.mp4," 0 (Based on the provided frames, I do not observe any accident or collision.)", None, No (Based on the frames), No, No, No," Sedan, Mini-van, Bus", No," Day, Clear", No (The footage seems reasonable in resolution.)
000196.mp4, 2, T-Bone," Yes (Likely, based on the impact)"," Yes (Likely, given potential injuries from the collision)", No (No fire is visible), Yes (Traffic accidents generally require police investigation)," Van, Motorcycle", No," Day, Clear"," Yes (The resolution is not very high, making details difficult to discern)"
000197.mp4, 1, Single vehicle collision, Yes, Yes, No, Yes, Scooter/Motorcycle, No," Day, clear", No
000198.mp4, 2, Motorcycle/Vehicle Collision, Yes, Yes (Likely), No, Yes, Car and Motorcycle, No," Day, Clear", No
000199.mp4,2,T-Bone,Yes,Yes,No,Yes,Sedan and Scooter/Motorcycle,No,"Day, clear",No
000200.mp4, 1, Collision between a car and a motorcycle.," Likely yes (based on the nature of motorcycle accidents, but cannot confirm definitively).", Likely yes (due to the high likelihood of injury in a motorcycle accident)., No (no visible signs of fire or hazardous materials)., Yes (to investigate the accident and determine liability)., Sedan and motorcycle., No.," Day, clear.", Yes (the image quality is low and grainy).
000201.mp4, 0, N/A, No, No, No, No," Sedans, van, and other smaller cars", No," Day, clear", No
000202.mp4, 2, T-bone," Potentially yes (based on the force of the impact, though this is difficult to determine from the footage alone)", Potentially yes (given the possibility of injuries), No (no visible fire or indication of a need for fire services), Yes (to investigate the accident and determine fault), Sedan and SUV, No, Night and possibly wet (based on reflections on the road), Yes (low resolution and somewhat blurry)
000203.mp4, 2, T-bone," Yes (likely, given the motorcycle involvement)"," Yes (likely, due to the potential for serious injuries)", No (no visible signs of fire or entrapment), Yes (accident investigation), Motorcycle and sedan, No," Day, clear"," Yes (the resolution is not very high, making it difficult to see fine details)"
000204.mp4, 2, T-bone, Yes (people are seen falling), Yes (due to visible injuries), No (no fire is visible), Yes (accident investigation), Sedan and Motorcycle, No," Day, Clear", Yes
