filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000131.mp4, 2, T-bone, Unknown (cannot be determined from the image), Unknown (cannot be determined from the image), No (no visible signs of fire), Likely (due to the nature of the collision), Sedan and Sedan, No," Night, snowy", Yes
000132.mp4, 2, T-bone, Unknown, Unknown, Unknown, Unknown, Sedans (based on the shapes), No," Night, likely clear (visibility is good)", Yes
000133.mp4, 3, T-Bone/Angle (appears to be a combination involving the vehicles), Unknown, Unknown, Unknown, Likely (given the severity of the collision)," Van/Minibus, Sedan, Sedan.", No," Night, possibly wet/icy conditions (based on road sheen)", No (image appears clear enough to observe details)
000134.mp4, 2, T-bone, Unclear, Unclear, No, Likely, Sedan and possibly a hatchback or another type of sedan., No, Day/Snowy, No
000135.mp4," 0 (Based on the images, there's no visible accident occurring.)", N/A, No, No, No, No, Sedans., No," Night, snowy conditions."," Yes, the footage has low resolution."
000136.mp4,3,Angle impact,Likely yes,Likely yes,Unlikely no,Yes,"SUV, Truck, Motorcycle",No,"Day, clear",Yes
000137.mp4,"0 (Based on the single frame, there's no visible accident occurring.)",None,No (Cannot determine injury from this image.),No (No visible need in this frame.),No (No visible need in this frame.),No (No visible need in this frame.),"Sedan, possibly SUV (Based on the visible shapes, mostly sedans.  One might be an SUV).",No,"Daytime, Rainy/Wet","No (The footage is not high resolution, but it is clear enough to analyze)"
000138.mp4, 0, No accident is observed in any of the frames, No, No, No, No, Not applicable as no accident occurred., No," Day, clear", No
000139.mp4," 0 (Based on the current frame, there is no visible accident.)", N/A, no (I can't see evidence of injury in this frame.), no (No indication of needing an ambulance.), no (No indication of fire.), no (No obvious reason based on the frame.)," The image shows a mix of vehicles including sedans, SUVs, and a van.", no," Day. The road looks wet, so possibly rainy or just after rain."," yes (The image quality is low, making details difficult to discern.)"
000140.mp4," 1 (It's difficult to ascertain whether there is an accident, but only one vehicle is moving in the frame)"," Unknown (based on the image, it's impossible to determine if there was an accident. The vehicle appears to be turning.)", Unknown, Unknown, No (No visible fire or smoke), Unknown, Sedan, No," Night, clear (assumed based on visibility)", Yes
000141.mp4, 2, T-bone, yes, yes, no, yes," sedan, suv", no," Day, clear", no
000142.mp4,,,,,,,,,,
000143.mp4, 1, Pedestrian accident, yes, yes, no, yes, sedan, no," Day, clear", no
000144.mp4, 2, Side collision. One vehicle appears to have driven into the side of another car that was parked on the side of the road., Potentially yes. A person was sitting next to the parked vehicle before the collision and is later seen on the ground., Potentially yes. Given a person is on the ground it would be safe to assume an ambulance would be needed.," No, there is no sign of a fire."," Yes, an accident with potential injuries would require police to investigate.", The vehicles appear to be sedans., No," Appears to be daytime, clear weather."," Yes, the footage is low resolution."
000145.mp4, 2, T-bone, Unable to determine., Unable to determine., No," Possibly, due to the nature of the accident."," Truck, SUV", No," Day, Clear", Yes
000146.mp4, 0 (There is no accident in this image), N/A, No, No, No, No," Van, truck, sedan", No, Day/clear, Yes
000147.mp4, 2, Roll Over," Unclear, but potentially yes (due to the severity of the truck rolling onto the vehicle).", Likely yes," Unclear, depends on if there's a fire hazard or entrapment.", Yes (due to the severity of the accident and need for investigation).," Hatchback car, Truck.", No (not visible in the image).," Day, clear", Yes (the footage is low resolution).
000148.mp4, 2, T-bone, Unknown, Unknown, No, Likely," Sedan, Sedan", No," Day, Clear", No
000149.mp4,,,,,,,,,,
000150.mp4,2,T-bone,Likely yes,Likely yes,No,Yes,Sedans,No,"Night, possibly wet or rainy",Yes
000151.mp4, 1, Pedestrian impact, Yes, Yes, No, Yes, Sedan, No, Day/clear, Yes
000152.mp4, 2 (based on the presence of what appears to be a van and another object in the frame), This is difficult to determine with certainty from the provided images. It could potentially be a side impact., Unknown. There is no clear indication of injury., Unknown., Unknown.," Likely, given the context of the video being from a ""Kent Güvenlik Yönetim Sistemi"" (City Security Management System) and the presence of a possible accident.", A van or small truck is visible. The other vehicle is not discernible., No," Daytime, likely clear."," Yes, the footage is low resolution, making details difficult to discern."
000153.mp4, 2, T-bone," Possible, but not definitively visible."," Likely, given the T-bone collision."," Unlikely, no fire is visible."," Yes, due to the accident.", Sedan and an unknown type., No," Night, clear."," Yes, low resolution."
000154.mp4,"0 (Based on the single frame, there is no visible collision occurring.)",N/A (No accident is observed in this frame.),N/A (No accident is observed in this frame.),no,no,no,"Truck, SUV, Motorcycle",no,"Day, clear",yes
000155.mp4, 0, Unable to determine due to no collision happening in the frame., Unable to determine., Unable to determine., Unable to determine., Unable to determine.," I can see at least one vehicle, possibly more in the distance, but due to the low resolution, it's hard to specify the type. Potentially Sedan or SUV.", No., Daytime. The road appears wet. Suggesting rain., Yes.
000156.mp4, 0 (I see no visual evidence of an accident in the provided frames), N/A, No, No, No, No," Large utility truck, various cars, vans, and motorcycles are visible.", No," Day, clear"," Yes, the footage quality is low."
000157.mp4,2,T-bone (appears the motorcycle struck the van on the side),Likely yes,Likely yes,Unlikely no,Likely yes,Van and Motorcycle,No,"Day, Clear",Yes
000158.mp4, 2, Rear-end, Unknown, Unknown, No, Yes," Sedan, Van", No, Day/Clear, Yes
000159.mp4, 2, Rear-end, Possibly. It's difficult to determine definitively from the image.," Possibly, given the nature of the accident and potential for injury."," No, there is no indication of fire or hazardous materials."," Yes, traffic accidents typically require police presence for documentation and investigation.", Both appear to be sedans., No.," Night, appears to be clear weather."," Yes, the footage is low resolution."
000160.mp4, 3, Appears to be a pedestrian accident (one pedestrian with 2 motorcycles)," Yes, likely based on the nature of the impact."," Yes, likely due to potential pedestrian injuries."," No, not indicated."," Yes, due to the accident and potential injuries.", Motorcycles and cars," No, not indicated."," Day, Wet."," Yes, the footage is low resolution and makes it difficult to see details."
000161.mp4, 2, T-bone," Based on the video, it is difficult to determine definitively, but given the nature of the accident, it is yes (potential injury).", Likely yes., No (no visible fire)., Yes., Motorcycle and sedan, No.," Day, weather appears to be overcast.", Yes.
000162.mp4, 2, T-Bone (potential), Unknown, Unknown, No," Yes (likely, given the nature of the accident)"," Sedan, Pickup Truck", No," Day, Clear", Yes (Low Resolution)
000163.mp4, 2," T-bone (likely, based on the light flash and vehicle positions)"," Possibly yes (due to the severity of the collision, injury is possible)", Probably yes, Potentially yes (due to the possibility of a fire or fluid spill), Yes," Sedans (likely, based on the general shapes)"," Possibly (a bright flash is visible, which may be a fire or airbag deployment)"," Night, likely wet (reflected light on the road surface)", Yes
000164.mp4, 2, T-bone, Likely yes (based on the severity of the impact), Likely yes, Possibly yes (due to the severity and potential for hazards), Yes (standard procedure for traffic accidents), Two sedans, No," Night, weather unclear but appears dry", Yes
000165.mp4, 0, Not Applicable (No accident), No, No, No, No," Sedans, SUVs, Vans, Taxi, Hatchback", No," Day, clear", Yes
000166.mp4, 2, T-Bone, Likely yes, Yes, No, Yes, Sedan and another vehicle type that is difficult to identify (possibly another sedan or a small van)., No," Night, likely wet.", Yes
000167.mp4,2,Appears to be a side impact (T-Bone) based on the position of the vehicles.,"Possibly yes, given the nature of the impact and people exiting vehicles. Difficult to confirm definitively.","Possibly yes, given the potential for injury.","No, there is no indication of fire or hazardous material.","Yes, police are on scene.",Both are sedans or hatchbacks.,No.,"Day, clear weather.","Yes, the footage is low resolution and somewhat blurry, making it difficult to assess details."
000168.mp4, 2," Likely pedestrian impact, followed by a collision with the object in the road."," Yes (most likely, due to the pedestrian impact).", Yes (due to the likely pedestrian injury)., No (no fire is visible)., Yes (standard procedure for traffic accidents with injuries)., Likely a sedan or similar passenger vehicle., No," Night, weather appears clear."," Yes (low resolution, difficult to discern details)."
000169.mp4," 1 (based on the provided frames, it appears to be a single vehicle incident)", Rollover/Loss of Control (based on the truck being on its side), Unknown (Cannot be determined from the frames), Unknown (Cannot be determined from the frames)," Possible (Given that trucks can carry flammable cargo, the possibility of a leak would warrant a firetruck.)", Likely (Accidents involving large vehicles typically require police investigation and traffic management), Tanker Truck, No (No visible fire in the frames)," Day, Clear (Visual assessment)", Yes (The footage is of relatively low resolution)
000170.mp4, 2, T-bone.," Likely yes, based on the severity of the impact and people being near the accident."," Yes, due to the potential for injuries."," Yes, due to the visible fire."," Yes, to investigate the accident and manage traffic.", Sedan and station wagon., Yes.," Night, appears clear."," Yes, the footage is low resolution and somewhat grainy."
000171.mp4, 2, T-bone (inferred from the position of the vehicles and the stopped vehicle being struck on the side), Potentially Yes (based on ambulance being called)., Yes (presuming the white van with flashing lights is an ambulance).," Unknown. Could be, but no evidence of a fire."," Yes (likely, due to the severity of the crash).", SUV (struck first) and a van, No," Night, wet/damp (reflected lights on the road)"," Yes (low resolution and limited frame rate, making definitive assessment difficult)."
000172.mp4, 0,  None, No, No, No, No,"  SUVs, trucks, vans, and sedans", No," Day, clear", Yes
000173.mp4, 0, None, No, No, No, No," SUVs, sedans, trucks.", No," Daytime, clear.", Yes
000174.mp4, 0 (I do not see any visual indication of an accident), None, No, No, No, No," Sedans, SUVs, trucks (various types of vehicles are present, but they are not involved in any visible accident)", No," Night, clear (based on visibility and streetlights)"," Yes (the image quality is poor, making it difficult to discern details)"
000175.mp4, 2, T-bone, Unclear, Possibly, No, Yes," Sedan, Sedan", No," Night, clear", Yes
000176.mp4, 0, None, No, No, No, No," SUV, truck, sedan, van/bus, and other vehicles are observed", No," Day, clear", No
000177.mp4,0 (No accident is shown in the provided images),N/A,no,no,no,no,"SUVs, sedans, trucks",no,"day, clear",yes
000178.mp4," 0 (I see multiple vehicles at an intersection, but no evidence of a collision in these frames)", N/A (No accident visible), Unknown (No accident visible), No (No accident visible), No (No accident visible), No (No accident visible)," SUV, truck, sedan (all present at the intersection, but not involved in an accident)", No (No evidence of fire)," Day, clear"," Yes (The image quality is low, making details difficult to discern)"
000179.mp4," 0 (Based on the frames provided, I do not see any accident)", N/A, No, No, No, No,"  Several vehicles, mostly with headlights, are visible but the types cannot be determined due to the image quality.", No," Night, Unknown Weather", Yes
000180.mp4, 0 (There is no evidence of an accident in these frames), N/A (No accident detected), No, No, No, No," SUVs, sedans, a taxi", No," Day, clear weather", Yes (the footage is somewhat low resolution)
000181.mp4,2,T-bone,Likely yes,Likely yes,"Unknown, potentially yes",Yes,"SUV, Sedan",No,"Night, clear",Yes
000182.mp4," 0 (Based on the provided frames, there is no visible accident occurring.)", N/A (No accident detected.), No (No accident to suggest injuries.), No (No accident detected.), No (No accident detected.), No (No accident detected.)," Multiple sedans, SUVs, and potentially other vehicle types are visible.", No (No fire visible.)," Night, potentially clear conditions, though the video quality makes it hard to determine definitively."," Yes (The footage is low resolution and somewhat blurry, making definitive observations difficult.)"
000183.mp4," 0 (Based on the images, there is no accident shown)", N/A, no, no, no, no," SUVs, sedans, possibly a truck.", no," Day, clear.", Yes. The footage is grainy and low resolution.
000184.mp4, 2, T-bone, Likely yes, Yes, Possibly, Yes," Box Truck, SUV", No," Day, clear", Yes
000185.mp4, 2, T-bone, Yes (based on the aftermath and scattered debris), Yes, Yes (due to the smoke/possible fire), Yes, It appears to be a car and a truck or SUV., Possible (smoke is visible)," Night, appears to be rainy or wet conditions.", No
000186.mp4, 0, Not applicable (no accident is visible), Not applicable (no accident is visible), No, No, No, Car and a truck, No," Night, Wet/Rainy", Yes (black and white and low quality)
000187.mp4, 2," Angle/Side impact, looks like the dark vehicle crossed into the path of the white vehicle.",  Cannot determine from the footage., Cannot determine from the footage., Cannot determine from the footage.,"  Likely, due to the severity of the impact.",  Dark Sedan/SUV and a Light colored Sedan, No," Night, wet conditions (due to visible water on the road)"," Yes, the footage is low resolution and not very clear."
000188.mp4, 2," Intersection collision, looks like a t-bone style impact.", Yes, Yes, Potentially (due to the severity of the crash), Yes, Appears to be a car and a sedan., No," Night, potentially wet/raining based on road reflections.", Yes
000189.mp4, 3, T-bone/angle collision," Yes, potential injuries due to the severity of the impact."," Yes, likely needed due to the accident type."," Possible, but unknown with the low resolution."," Yes, needed for accident investigation.", At least two sedans and a van., No fire is visible.," Night, weather appears clear."," Yes, the footage is of low resolution and somewhat unclear."
000190.mp4," 0 (Based on the frames provided, there is no accident occurring.)", N/A," No (Based on the frames provided, no apparent injuries)", No, No, No,"Motorcycle, white sedan (estate), black MPV/van.", No," Day, clear"," No, appears reasonable resolution."
000191.mp4, 2, T-Bone," Possibly, cannot confirm with certainty from footage"," Possibly, cannot confirm with certainty from footage", No, Yes," Bus, sedan", No, Day/Clear, Yes
000192.mp4, 1, Pedestrian Impact, Yes, Yes, No, Yes," Sedan, Human", No," Night, Clear", Yes
000193.mp4, 1, Pedestrian hit by a vehicle, Yes, Yes, No, Yes, Bus, No," Day, clear", No
000194.mp4, 0, None, No, No, No, No," SUVs, Sedans, Vans, Motorcycles", No," Day, clear", Yes
000195.mp4, 0, Not applicable, No, No, No, No," Sedan, SUV, Bus", No," Day, clear", No
000196.mp4, 2, T-bone, Yes (based on the need for an ambulance), Yes (the white vehicle is an ambulance), No (not visible), Yes (most accidents require police involvement)," Van (likely an ambulance), Motorcycle", No (not visible)," Day, clear weather", Yes (the footage has low resolution and artifacts)
000197.mp4, 1, Single Vehicle Accident, Yes, Yes, No, Yes, Motorcycle, No," Day, clear", No
000198.mp4,2,Sideswipe/Broadside,Yes,Yes,No,Yes,Motorcycle and Sedan,No,"Day, clear",No
000199.mp4, 2, T-Bone, Yes, Yes, No, Yes," Sedan, Scooter", No," Day, Clear", No
000200.mp4, 2, Appears to be a broadside or T-bone type collision.," Potentially yes, given the nature of the collision."," Potentially yes, given the potential for injury."," No, there is no visible fire or smoke."," Yes, due to the accident and potential injuries.", Sedan and Scooter., No," Daytime, clear weather"," Yes, the footage is low resolution."
000201.mp4," 0 (Based on the provided frames, there is no visible accident.)", N/A (No accident detected), No (No accident detected), No (No accident detected), No (No accident detected), No (No accident detected)," Multiple sedans, vans, and smaller cars are present in the scene.", No (No accident detected)," Day, clear.", No
000202.mp4, 2, T-bone, Likely yes (based on the impact and potential for injury), Likely yes, Unlikely, Yes, SUV and Sedan, No," Night, Wet (based on the road surface)", Yes (the footage is low resolution)
000203.mp4, 2, Angle/Side Impact, Likely yes, Likely yes, Likely no, Likely yes, Motorcycle and Sedan, No," Day, clear", Yes
000204.mp4,2,T-bone,Yes,Yes,No,Yes,"Sedan, Motorcycle",No,"Day, Clear",Yes
